caseId,sourceResultFile,analysisCount,averageRelevance,averageProblemValidity,averageSentenceTypeConsistency,averageReasonCorrectness,averageContextAwareness,averageFaithfulness,averageTenseConsistency,averageUsability,averageNonMeta,averageMeaningPreservation,strengthsPrecision,missingKeywordsPrecision,overallUsefulness,errorCodes,shortRationale,judgeInputTokens,judgeOutputTokens,judgeLatencyMs,failureStage
EV-11,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3,,4,"[""NONE""]","지원 동기와 포부가 명확하게 드러나 있으며, 자격증 관련 경험과 프로그램 운영 계획이 구체적입니다. 다만, 포부의 실행 방법에 대한 구체성이 부족합니다.",,,6376,
EV-12,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3,,4,"[""NONE""]","지원자의 경험과 역량이 직무에 잘 부합하며, 구체적인 사례를 통해 강점을 잘 드러냈습니다. 다만, 일부 문맥 인식이 부족한 부분이 있습니다.",,,4484,
EV-13,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,2,,4,"[""NONE""]","지원자의 경험이 직무와 관련성이 높고, 구체적인 사례를 통해 전문성을 잘 드러냈습니다. 다만, 일부 문장에서는 구체성이 부족한 부분이 있습니다.",,,4344,
EV-14,evaluation/evaluation_ai_results_two_pass_v2.csv,0,,,,,,,,,,,5,3,4,"[""NONE""]","지원자의 경험은 JD의 주요 업무와 자격 요건에 잘 부합하며, 강력한 마케팅 배경을 보여줍니다. 그러나 질문 분석이 없어 구체적인 평가가 어렵습니다.",,,1938,
EV-15,evaluation/evaluation_ai_results_two_pass_v2.csv,0,,,,,,,,,,,2,1,4,"[""NONE""]","지원자는 경영지원 업무의 중요성을 잘 이해하고 있으며, 구체적인 업무 수행 계획을 제시했습니다. 그러나 JD의 주요 키워드 중 하나인 '4대보험 신고 및 지원금 신청'이 누락되었습니다.",,,2058,
EV-16,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4,,4,"[""NONE""]","지원자의 경험과 직무 이해도가 잘 드러나 있으며, 공급 운영 지원 방안이 언급되었으나 구체성이 부족합니다.",,,4818,
EV-17,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4,,4,"[""NONE""]","지원자의 경험과 태도가 잘 드러나 있으며, 간호사로서의 성장 의지가 명확하게 표현되었습니다. 다만, 구체적인 행동 설명이 부족한 부분이 아쉽습니다.",,,3602,
EV-18,evaluation/evaluation_ai_results_two_pass_v2.csv,1,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2,1,4,"[""NONE""]","지원자의 경험과 가치관이 잘 드러나지만, 행정업무 지원에 대한 구체적인 방법이 부족합니다. 전반적으로 긍정적인 평가를 받았습니다.",,,3957,
EV-19,evaluation/evaluation_ai_results_two_pass_v2.csv,0,,,,,,,,,,,5,3,4,"[""NONE""]","지원자는 QA의 중요성을 잘 이해하고 있으며, 관련 경험과 구체적인 실행 계획을 제시했습니다. 그러나 JD의 일부 주요 키워드가 누락되어 아쉬움이 있습니다.",,,2201,
EV-20,evaluation/evaluation_ai_results_two_pass_v2.csv,1,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,2,3,4,"[""NONE""]","지원자의 목표와 경험이 잘 드러나 있으며, 보험 산업에 대한 이해도가 높습니다. 그러나 포부의 실행 방법이 다소 구체적이지 않아 개선이 필요합니다.",,,3319,
